BTCUSD,Bitcoin
ETHUSD,Ethereum
LTCUSD,Litecoin
XRPUSD,Ripple
BCHUSD,Bitcoin Cash
EOSUSD,EOS
XLMUSD,Stellar
TRXUSD,Tron
ADAUSD,Cardano
XMRUSD,Monero
