EURUSD,EUR/USD
JPYUSD,JPY/USD
GBPUSD,GBP/USD
USDCHF,USD/CHF
EURGBP,EUR/GBP
EURJPY,EUR/JPY
EURCHF,EUR/CHF
AUDUSD,AUD/USD
USDCAD,USD/CAD
NZDUSD,NZD/USD
